env_step,returned_episode_returns
4096,0.0
8192,0.0
12288,0.0
16384,0.0
20480,0.0
24576,0.0
28672,0.0
32768,0.0
36864,0.0
40960,0.0
45056,0.0
49152,0.0
53248,0.0
57344,0.0
61440,0.0
65536,0.0
69632,0.0
73728,0.0
77824,0.0
81920,0.0
86016,0.0
90112,0.0
94208,0.0
98304,0.0
102400,0.0
106496,0.0
110592,0.0
114688,0.0
118784,0.0
122880,0.0
126976,0.0
131072,0.0
135168,0.0
139264,0.0
143360,0.0
147456,0.0
151552,0.0
155648,0.0
159744,0.0
163840,0.0
167936,0.0
172032,0.0
176128,0.0
180224,0.0
184320,0.0
188416,0.0
192512,0.0
196608,0.0
200704,0.0
204800,0.0
208896,0.0
212992,0.0
217088,0.0
221184,0.0
225280,0.0
229376,0.0
233472,0.0
237568,0.0
241664,0.0
245760,0.0
249856,0.0
253952,0.0
258048,0.0
262144,0.0
266240,0.0
270336,0.0
274432,0.0
278528,0.0
282624,0.0
286720,0.0
290816,0.0
294912,0.0
299008,0.0
303104,0.0
307200,0.0
311296,0.0
315392,0.0
319488,0.0
323584,0.587646484375
327680,0.6484375
331776,0.6484375
335872,0.6484375
339968,0.6484375
344064,0.6484375
348160,0.6484375
352256,0.6484375
356352,0.6484375
360448,0.6484375
364544,0.6484375
368640,0.6484375
372736,0.6484375
376832,0.6484375
380928,0.6484375
385024,0.6484375
389120,0.6484375
393216,0.6484375
397312,0.6484375
401408,0.6484375
405504,0.6484375
409600,0.6484375
413696,0.6484375
417792,0.6484375
421888,0.6484375
425984,0.6484375
430080,0.6484375
434176,0.6484375
438272,0.6484375
442368,0.6484375
446464,0.6484375
450560,0.6484375
454656,0.6484375
458752,0.6484375
462848,0.6484375
466944,0.6484375
471040,0.6484375
475136,0.6484375
479232,0.6484375
483328,0.6484375
487424,0.6484375
491520,0.6484375
495616,0.6484375
499712,0.6484375
503808,0.6484375
507904,0.6484375
512000,0.6484375
516096,0.6484375
520192,0.6484375
524288,0.6484375
528384,0.6484375
532480,0.6484375
536576,0.6484375
540672,0.6484375
544768,0.6484375
548864,0.6484375
552960,0.6484375
557056,0.6484375
561152,0.6484375
565248,0.6484375
569344,0.6484375
573440,0.6484375
577536,0.6484375
581632,0.6484375
585728,0.6484375
589824,0.6484375
593920,0.6484375
598016,0.6484375
602112,0.6484375
606208,0.6484375
610304,0.6484375
614400,0.6484375
618496,0.6484375
622592,0.6484375
626688,0.6484375
630784,0.6484375
634880,0.6484375
638976,0.6484375
643072,1.6005859375
647168,1.8671875
651264,1.8671875
655360,1.8671875
659456,1.8671875
663552,1.8671875
667648,1.8671875
671744,1.8671875
675840,1.8671875
679936,1.8671875
684032,1.8671875
688128,1.8671875
692224,1.8671875
696320,1.8671875
700416,1.8671875
704512,1.8671875
708608,1.8671875
712704,1.8671875
716800,1.8671875
720896,1.8671875
724992,1.8671875
729088,1.8671875
733184,1.8671875
737280,1.8671875
741376,1.8671875
745472,1.8671875
749568,1.8671875
753664,1.8671875
757760,1.8671875
761856,1.8671875
765952,1.8671875
770048,1.8671875
774144,1.8671875
778240,1.8671875
782336,1.8671875
786432,1.8671875
790528,1.8671875
794624,1.8671875
798720,1.8671875
802816,1.8671875
806912,1.8671875
811008,1.8671875
815104,1.8671875
819200,1.8671875
823296,1.8671875
827392,1.8671875
831488,1.8671875
835584,1.8671875
839680,1.8671875
843776,1.8671875
847872,1.8671875
851968,1.8671875
856064,1.8671875
860160,1.8671875
864256,1.8671875
868352,1.8671875
872448,1.8671875
876544,1.8671875
880640,1.8671875
884736,1.8671875
