env_step,pqn_Freeway-MinAtar - returned_episode_returns
4096,0.0
8192,0.0
12288,0.0
16384,0.0
20480,0.0
24576,0.0
28672,0.0
32768,0.0
36864,0.0
40960,0.0
45056,0.0
49152,0.0
53248,0.0
57344,0.0
61440,0.0
65536,0.0
69632,0.0
73728,0.0
77824,0.0
81920,0.0
86016,0.0
90112,0.0
94208,0.0
98304,0.0
102400,0.0
106496,0.0
110592,0.0
114688,0.0
118784,0.0
122880,0.0
126976,0.0
131072,0.0
135168,0.0
139264,0.0
143360,0.0
147456,0.0
151552,0.0
155648,0.0
159744,0.0
163840,0.0
167936,0.0
172032,0.0
176128,0.0
180224,0.0
184320,0.0
188416,0.0
192512,0.0
196608,0.0
200704,0.0
204800,0.0
208896,0.0
212992,0.0
217088,0.0
221184,0.0
225280,0.0
229376,0.0
233472,0.0
237568,0.0
241664,0.0
245760,0.0
249856,0.0
253952,0.0
258048,0.0
262144,0.0
266240,0.0
270336,0.0
274432,0.0
278528,0.0
282624,0.0
286720,0.0
290816,0.0
294912,0.0
299008,0.0
303104,0.0
307200,0.0
311296,0.0
315392,0.0
319488,0.0
323584,0.509765625
327680,0.5625
331776,0.5625
335872,0.5625
339968,0.5625
344064,0.5625
348160,0.5625
352256,0.5625
356352,0.5625
360448,0.5625
364544,0.5625
368640,0.5625
372736,0.5625
376832,0.5625
380928,0.5625
385024,0.5625
389120,0.5625
393216,0.5625
397312,0.5625
401408,0.5625
405504,0.5625
409600,0.5625
413696,0.5625
417792,0.5625
421888,0.5625
425984,0.5625
430080,0.5625
434176,0.5625
438272,0.5625
442368,0.5625
446464,0.5625
450560,0.5625
454656,0.5625
458752,0.5625
462848,0.5625
466944,0.5625
471040,0.5625
475136,0.5625
479232,0.5625
483328,0.5625
487424,0.5625
491520,0.5625
495616,0.5625
499712,0.5625
503808,0.5625
507904,0.5625
512000,0.5625
516096,0.5625
520192,0.5625
524288,0.5625
528384,0.5625
532480,0.5625
536576,0.5625
540672,0.5625
544768,0.5625
548864,0.5625
552960,0.5625
557056,0.5625
561152,0.5625
565248,0.5625
569344,0.5625
573440,0.5625
577536,0.5625
581632,0.5625
585728,0.5625
589824,0.5625
593920,0.5625
598016,0.5625
602112,0.5625
606208,0.5625
610304,0.5625
614400,0.5625
618496,0.5625
622592,0.5625
626688,0.5625
630784,0.5625
634880,0.5625
638976,0.5625
643072,1.569580078125
647168,1.8515625
651264,1.8515625
655360,1.8515625
659456,1.8515625
663552,1.8515625
667648,1.8515625
671744,1.8515625
675840,1.8515625
679936,1.8515625
684032,1.8515625
688128,1.8515625
692224,1.8515625
696320,1.8515625
700416,1.8515625
704512,1.8515625
708608,1.8515625
712704,1.8515625
716800,1.8515625
720896,1.8515625
724992,1.8515625
729088,1.8515625
733184,1.8515625
737280,1.8515625
741376,1.8515625
745472,1.8515625
749568,1.8515625
753664,1.8515625
757760,1.8515625
761856,1.8515625
765952,1.8515625
770048,1.8515625
774144,1.8515625
778240,1.8515625
782336,1.8515625
786432,1.8515625
790528,1.8515625
794624,1.8515625
798720,1.8515625
802816,1.8515625
806912,1.8515625
811008,1.8515625
815104,1.8515625
819200,1.8515625
823296,1.8515625
827392,1.8515625
831488,1.8515625
835584,1.8515625
839680,1.8515625
843776,1.8515625
847872,1.8515625
851968,1.8515625
856064,1.8515625
860160,1.8515625
864256,1.8515625
868352,1.8515625
872448,1.8515625
876544,1.8515625
880640,1.8515625
884736,1.8515625
888832,1.8515625
892928,1.8515625
897024,1.8515625
901120,1.8515625
905216,1.8515625
909312,1.8515625
913408,1.8515625
