env_step,pqn_Freeway-MinAtar - returned_episode_returns
4096,0.0
8192,0.0
12288,0.0
16384,0.0
20480,0.0
24576,0.0
28672,0.0
32768,0.0
36864,0.0
40960,0.0
45056,0.0
49152,0.0
53248,0.0
57344,0.0
61440,0.0
65536,0.0
69632,0.0
73728,0.0
77824,0.0
81920,0.0
86016,0.0
90112,0.0
94208,0.0
98304,0.0
102400,0.0
106496,0.0
110592,0.0
114688,0.0
118784,0.0
122880,0.0
126976,0.0
131072,0.0
135168,0.0
139264,0.0
143360,0.0
147456,0.0
151552,0.0
155648,0.0
159744,0.0
163840,0.0
167936,0.0
172032,0.0
176128,0.0
180224,0.0
184320,0.0
188416,0.0
192512,0.0
196608,0.0
200704,0.0
204800,0.0
208896,0.0
212992,0.0
217088,0.0
221184,0.0
225280,0.0
229376,0.0
233472,0.0
237568,0.0
241664,0.0
245760,0.0
249856,0.0
253952,0.0
258048,0.0
262144,0.0
266240,0.0
270336,0.0
274432,0.0
278528,0.0
282624,0.0
286720,0.0
290816,0.0
294912,0.0
299008,0.0
303104,0.0
307200,0.0
311296,0.0
315392,0.0
319488,0.0
323584,0.52392578125
327680,0.578125
331776,0.578125
335872,0.578125
339968,0.578125
344064,0.578125
348160,0.578125
352256,0.578125
356352,0.578125
360448,0.578125
364544,0.578125
368640,0.578125
372736,0.578125
376832,0.578125
380928,0.578125
385024,0.578125
389120,0.578125
393216,0.578125
397312,0.578125
401408,0.578125
405504,0.578125
409600,0.578125
413696,0.578125
417792,0.578125
421888,0.578125
425984,0.578125
430080,0.578125
434176,0.578125
438272,0.578125
442368,0.578125
446464,0.578125
450560,0.578125
454656,0.578125
458752,0.578125
462848,0.578125
466944,0.578125
471040,0.578125
475136,0.578125
479232,0.578125
483328,0.578125
487424,0.578125
491520,0.578125
495616,0.578125
499712,0.578125
503808,0.578125
507904,0.578125
512000,0.578125
516096,0.578125
520192,0.578125
524288,0.578125
528384,0.578125
532480,0.578125
536576,0.578125
540672,0.578125
544768,0.578125
548864,0.578125
552960,0.578125
557056,0.578125
561152,0.578125
565248,0.578125
569344,0.578125
573440,0.578125
577536,0.578125
581632,0.578125
585728,0.578125
589824,0.578125
593920,0.578125
598016,0.578125
602112,0.578125
606208,0.578125
610304,0.578125
614400,0.578125
618496,0.578125
622592,0.578125
626688,0.578125
630784,0.578125
634880,0.578125
638976,0.578125
643072,1.634033203125
647168,1.9296875
651264,1.9296875
655360,1.9296875
659456,1.9296875
663552,1.9296875
667648,1.9296875
671744,1.9296875
675840,1.9296875
679936,1.9296875
684032,1.9296875
688128,1.9296875
692224,1.9296875
696320,1.9296875
700416,1.9296875
704512,1.9296875
708608,1.9296875
712704,1.9296875
716800,1.9296875
720896,1.9296875
724992,1.9296875
729088,1.9296875
733184,1.9296875
737280,1.9296875
741376,1.9296875
745472,1.9296875
749568,1.9296875
753664,1.9296875
757760,1.9296875
761856,1.9296875
765952,1.9296875
770048,1.9296875
774144,1.9296875
778240,1.9296875
782336,1.9296875
786432,1.9296875
790528,1.9296875
794624,1.9296875
798720,1.9296875
802816,1.9296875
806912,1.9296875
811008,1.9296875
815104,1.9296875
819200,1.9296875
823296,1.9296875
827392,1.9296875
831488,1.9296875
835584,1.9296875
839680,1.9296875
843776,1.9296875
847872,1.9296875
851968,1.9296875
856064,1.9296875
860160,1.9296875
864256,1.9296875
868352,1.9296875
872448,1.9296875
876544,1.9296875
880640,1.9296875
884736,1.9296875
888832,1.9296875
892928,1.9296875
897024,1.9296875
901120,1.9296875
905216,1.9296875
909312,1.9296875
913408,1.9296875
