env_step,pqn_Freeway-MinAtar - returned_episode_returns
4096,0.0
8192,0.0
12288,0.0
16384,0.0
20480,0.0
24576,0.0
28672,0.0
32768,0.0
36864,0.0
40960,0.0
45056,0.0
49152,0.0
53248,0.0
57344,0.0
61440,0.0
65536,0.0
69632,0.0
73728,0.0
77824,0.0
81920,0.0
86016,0.0
90112,0.0
94208,0.0
98304,0.0
102400,0.0
106496,0.0
110592,0.0
114688,0.0
118784,0.0
122880,0.0
126976,0.0
131072,0.0
135168,0.0
139264,0.0
143360,0.0
147456,0.0
151552,0.0
155648,0.0
159744,0.0
163840,0.0
167936,0.0
172032,0.0
176128,0.0
180224,0.0
184320,0.0
188416,0.0
192512,0.0
196608,0.0
200704,0.0
204800,0.0
208896,0.0
212992,0.0
217088,0.0
221184,0.0
225280,0.0
229376,0.0
233472,0.0
237568,0.0
241664,0.0
245760,0.0
249856,0.0
253952,0.0
258048,0.0
262144,0.0
266240,0.0
270336,0.0
274432,0.0
278528,0.0
282624,0.0
286720,0.0
290816,0.0
294912,0.0
299008,0.0
303104,0.0
307200,0.0
311296,0.0
315392,0.0
319488,0.0
323584,0.43896484375
327680,0.484375
331776,0.484375
335872,0.484375
339968,0.484375
344064,0.484375
348160,0.484375
352256,0.484375
356352,0.484375
360448,0.484375
364544,0.484375
368640,0.484375
372736,0.484375
376832,0.484375
380928,0.484375
385024,0.484375
389120,0.484375
393216,0.484375
397312,0.484375
401408,0.484375
405504,0.484375
409600,0.484375
413696,0.484375
417792,0.484375
421888,0.484375
425984,0.484375
430080,0.484375
434176,0.484375
438272,0.484375
442368,0.484375
446464,0.484375
450560,0.484375
454656,0.484375
458752,0.484375
462848,0.484375
466944,0.484375
471040,0.484375
475136,0.484375
479232,0.484375
483328,0.484375
487424,0.484375
491520,0.484375
495616,0.484375
499712,0.484375
503808,0.484375
507904,0.484375
512000,0.484375
516096,0.484375
520192,0.484375
524288,0.484375
528384,0.484375
532480,0.484375
536576,0.484375
540672,0.484375
544768,0.484375
548864,0.484375
552960,0.484375
557056,0.484375
561152,0.484375
565248,0.484375
569344,0.484375
573440,0.484375
577536,0.484375
581632,0.484375
585728,0.484375
589824,0.484375
593920,0.484375
598016,0.484375
602112,0.484375
606208,0.484375
610304,0.484375
614400,0.484375
618496,0.484375
622592,0.484375
626688,0.484375
630784,0.484375
634880,0.484375
638976,0.484375
643072,1.637939453125
647168,1.9609375
651264,1.9609375
655360,1.9609375
659456,1.9609375
663552,1.9609375
667648,1.9609375
671744,1.9609375
675840,1.9609375
679936,1.9609375
684032,1.9609375
688128,1.9609375
692224,1.9609375
696320,1.9609375
700416,1.9609375
704512,1.9609375
708608,1.9609375
712704,1.9609375
716800,1.9609375
720896,1.9609375
724992,1.9609375
729088,1.9609375
733184,1.9609375
737280,1.9609375
741376,1.9609375
745472,1.9609375
749568,1.9609375
753664,1.9609375
757760,1.9609375
761856,1.9609375
765952,1.9609375
770048,1.9609375
774144,1.9609375
778240,1.9609375
782336,1.9609375
786432,1.9609375
790528,1.9609375
794624,1.9609375
798720,1.9609375
802816,1.9609375
806912,1.9609375
811008,1.9609375
815104,1.9609375
819200,1.9609375
823296,1.9609375
827392,1.9609375
831488,1.9609375
835584,1.9609375
839680,1.9609375
843776,1.9609375
847872,1.9609375
851968,1.9609375
856064,1.9609375
860160,1.9609375
864256,1.9609375
868352,1.9609375
872448,1.9609375
876544,1.9609375
880640,1.9609375
884736,1.9609375
888832,1.9609375
892928,1.9609375
897024,1.9609375
901120,1.9609375
905216,1.9609375
909312,1.9609375
913408,1.9609375
