env_step,pqn_Freeway-MinAtar - test_returned_episode_returns
4096,0.0234375
8192,0.0234375
12288,0.0234375
16384,0.0234375
20480,0.0234375
24576,0.0234375
28672,0.0234375
32768,0.0234375
36864,0.0234375
40960,0.0234375
45056,0.0234375
49152,0.0234375
53248,0.0234375
57344,0.0234375
61440,0.0234375
65536,0.0234375
69632,0.0234375
73728,0.0234375
77824,0.0234375
81920,0.0234375
86016,0.0234375
90112,0.0234375
94208,0.0234375
98304,0.0234375
102400,0.0234375
106496,0.0234375
110592,0.0234375
114688,0.0234375
118784,0.0234375
122880,0.0234375
126976,0.0234375
131072,0.0234375
135168,0.0234375
139264,0.0234375
143360,0.0234375
147456,0.0234375
151552,0.0234375
155648,0.0234375
159744,0.0234375
163840,0.0234375
167936,0.0234375
172032,0.0234375
176128,0.0234375
180224,0.0234375
184320,0.0234375
188416,0.0234375
192512,0.0234375
196608,0.0234375
200704,0.0234375
204800,0.0234375
208896,0.0234375
212992,0.0234375
217088,0.0234375
221184,0.0234375
225280,0.0234375
229376,0.0234375
233472,0.0234375
237568,0.0234375
241664,0.0234375
245760,0.0234375
249856,0.0234375
253952,0.0234375
258048,0.0234375
262144,0.0234375
266240,0.0234375
270336,0.0234375
274432,0.0234375
278528,0.0234375
282624,0.0234375
286720,0.0234375
290816,0.0234375
294912,0.0234375
299008,0.0234375
303104,0.0234375
307200,0.0234375
311296,0.0234375
315392,0.0234375
319488,0.0234375
323584,0.0234375
327680,0.0234375
331776,0.0234375
335872,0.0234375
339968,0.0234375
344064,0.0234375
348160,0.0234375
352256,0.0234375
356352,0.0234375
360448,0.0234375
364544,0.0234375
368640,0.0234375
372736,0.0234375
376832,0.0234375
380928,0.0234375
385024,0.0234375
389120,0.0234375
393216,0.0234375
397312,0.0234375
401408,0.0234375
405504,0.0234375
409600,0.0234375
413696,0.0234375
417792,0.0234375
421888,0.0234375
425984,0.0234375
430080,0.0234375
434176,0.0234375
438272,0.0234375
442368,0.0234375
446464,0.0234375
450560,0.0234375
454656,0.0234375
458752,0.0234375
462848,0.0234375
466944,0.0234375
471040,0.0234375
475136,0.0234375
479232,0.0234375
483328,0.0234375
487424,0.0234375
491520,0.0234375
495616,0.0234375
499712,0.0234375
503808,0.0234375
507904,0.0234375
512000,0.0234375
516096,0.0234375
520192,0.0234375
524288,0.0234375
528384,0.0234375
532480,0.0234375
536576,0.0234375
540672,0.0234375
544768,0.0234375
548864,0.0234375
552960,0.0234375
557056,0.0234375
561152,0.0234375
565248,0.0234375
569344,0.0234375
573440,0.0234375
577536,0.0234375
581632,0.0234375
585728,0.0234375
589824,0.0234375
593920,0.0234375
598016,0.0234375
602112,0.0234375
606208,0.0234375
610304,0.0234375
614400,0.0234375
618496,0.0234375
622592,0.0234375
626688,0.0234375
630784,0.0234375
634880,0.0234375
638976,0.0234375
643072,0.0234375
647168,0.0234375
651264,0.0234375
655360,0.0234375
659456,0.0234375
663552,0.0234375
667648,0.0234375
671744,0.0234375
675840,0.0234375
679936,0.0234375
684032,0.0234375
688128,0.0234375
692224,0.0234375
696320,0.0234375
700416,0.0234375
704512,0.0234375
708608,0.0234375
712704,0.0234375
716800,0.0234375
720896,0.0234375
724992,0.0234375
729088,0.0234375
733184,0.0234375
737280,0.0234375
741376,0.0234375
745472,0.0234375
749568,0.0234375
753664,0.0234375
757760,0.0234375
761856,0.0234375
765952,0.0234375
770048,0.0234375
774144,0.0234375
778240,0.0234375
782336,0.0234375
786432,0.0234375
790528,0.0234375
794624,0.0234375
798720,0.0234375
802816,0.0234375
806912,0.0234375
811008,0.0234375
815104,0.0234375
819200,0.0234375
823296,0.0234375
827392,0.0234375
831488,0.0234375
835584,0.0234375
839680,0.0234375
843776,0.0234375
847872,0.0234375
851968,0.0234375
856064,0.0234375
860160,0.0234375
864256,0.0234375
868352,0.0234375
872448,0.0234375
876544,0.0234375
880640,0.0234375
884736,0.0234375
888832,0.0234375
892928,0.0234375
897024,0.0234375
901120,0.0234375
905216,0.0234375
909312,0.0234375
913408,0.0234375
917504,0.0234375
921600,0.0234375
925696,0.0234375
929792,0.0234375
933888,0.0234375
937984,0.0234375
942080,0.0234375
946176,0.0234375
950272,0.0234375
954368,0.0234375
958464,0.0234375
962560,0.0234375
966656,0.0234375
970752,0.0234375
974848,0.0234375
978944,0.0234375
983040,0.0234375
987136,0.0234375
991232,0.0234375
995328,0.0234375
999424,8.296875
1003520,8.296875
1007616,8.296875
1011712,8.296875
1015808,8.296875
1019904,8.296875
1024000,8.296875
1028096,8.296875
1032192,8.296875
1036288,8.296875
1040384,8.296875
1044480,8.296875
1048576,8.296875
1052672,8.296875
1056768,8.296875
1060864,8.296875
1064960,8.296875
1069056,8.296875
1073152,8.296875
1077248,8.296875
1081344,8.296875
1085440,8.296875
1089536,8.296875
1093632,8.296875
1097728,8.296875
1101824,8.296875
1105920,8.296875
1110016,8.296875
1114112,8.296875
1118208,8.296875
1122304,8.296875
1126400,8.296875
1130496,8.296875
1134592,8.296875
1138688,8.296875
1142784,8.296875
1146880,8.296875
1150976,8.296875
1155072,8.296875
1159168,8.296875
1163264,8.296875
1167360,8.296875
1171456,8.296875
1175552,8.296875
1179648,8.296875
1183744,8.296875
1187840,8.296875
1191936,8.296875
1196032,8.296875
1200128,8.296875
1204224,8.296875
1208320,8.296875
1212416,8.296875
1216512,8.296875
1220608,8.296875
1224704,8.296875
1228800,8.296875
1232896,8.296875
1236992,8.296875
1241088,8.296875
1245184,8.296875
1249280,8.296875
1253376,8.296875
1257472,8.296875
1261568,8.296875
1265664,8.296875
1269760,8.296875
1273856,8.296875
1277952,8.296875
1282048,8.296875
