"env_step","Asterix-MinAtar_Transfer_From_Freeway-MinAtar - _step","Asterix-MinAtar_Transfer_From_Freeway-MinAtar - _step__MIN","Asterix-MinAtar_Transfer_From_Freeway-MinAtar - _step__MAX","Asterix-MinAtar_Transfer_From_Freeway-MinAtar - test_returned_episode_returns","Asterix-MinAtar_Transfer_From_Freeway-MinAtar - test_returned_episode_returns__MIN","Asterix-MinAtar_Transfer_From_Freeway-MinAtar - test_returned_episode_returns__MAX"
"4096","1","1","1","0.550000011920929","0.550000011920929","0.550000011920929"
"8192","2","2","2","0.550000011920929","0.550000011920929","0.550000011920929"
"12288","3","3","3","0.550000011920929","0.550000011920929","0.550000011920929"
"16384","4","4","4","0.550000011920929","0.550000011920929","0.550000011920929"
"20480","5","5","5","0.550000011920929","0.550000011920929","0.550000011920929"
"24576","6","6","6","0.550000011920929","0.550000011920929","0.550000011920929"
"28672","7","7","7","0.550000011920929","0.550000011920929","0.550000011920929"
"32768","8","8","8","0.550000011920929","0.550000011920929","0.550000011920929"
"36864","9","9","9","0.550000011920929","0.550000011920929","0.550000011920929"
"40960","10","10","10","0.550000011920929","0.550000011920929","0.550000011920929"
"45056","11","11","11","0.550000011920929","0.550000011920929","0.550000011920929"
"49152","12","12","12","0.550000011920929","0.550000011920929","0.550000011920929"
"53248","13","13","13","0.550000011920929","0.550000011920929","0.550000011920929"
"57344","14","14","14","0.550000011920929","0.550000011920929","0.550000011920929"
"61440","15","15","15","0.550000011920929","0.550000011920929","0.550000011920929"
"65536","16","16","16","0.550000011920929","0.550000011920929","0.550000011920929"
"69632","17","17","17","0.550000011920929","0.550000011920929","0.550000011920929"
"73728","18","18","18","0.550000011920929","0.550000011920929","0.550000011920929"
"77824","19","19","19","0.550000011920929","0.550000011920929","0.550000011920929"
"81920","20","20","20","0.550000011920929","0.550000011920929","0.550000011920929"
"86016","21","21","21","0.550000011920929","0.550000011920929","0.550000011920929"
"90112","22","22","22","0.550000011920929","0.550000011920929","0.550000011920929"
"94208","23","23","23","0.550000011920929","0.550000011920929","0.550000011920929"
"98304","24","24","24","0.550000011920929","0.550000011920929","0.550000011920929"
"102400","25","25","25","0.550000011920929","0.550000011920929","0.550000011920929"
"106496","26","26","26","0.550000011920929","0.550000011920929","0.550000011920929"
"110592","27","27","27","0.550000011920929","0.550000011920929","0.550000011920929"
"114688","28","28","28","0.550000011920929","0.550000011920929","0.550000011920929"
"118784","29","29","29","0.550000011920929","0.550000011920929","0.550000011920929"
"122880","30","30","30","0.550000011920929","0.550000011920929","0.550000011920929"
"126976","31","31","31","0.550000011920929","0.550000011920929","0.550000011920929"
"131072","32","32","32","0.550000011920929","0.550000011920929","0.550000011920929"
"135168","33","33","33","0.550000011920929","0.550000011920929","0.550000011920929"
"139264","34","34","34","0.550000011920929","0.550000011920929","0.550000011920929"
"143360","35","35","35","0.550000011920929","0.550000011920929","0.550000011920929"
"147456","36","36","36","0.550000011920929","0.550000011920929","0.550000011920929"
"151552","37","37","37","0.550000011920929","0.550000011920929","0.550000011920929"
"155648","38","38","38","0.550000011920929","0.550000011920929","0.550000011920929"
"159744","39","39","39","0.550000011920929","0.550000011920929","0.550000011920929"
"163840","40","40","40","0.550000011920929","0.550000011920929","0.550000011920929"
"167936","41","41","41","0.550000011920929","0.550000011920929","0.550000011920929"
"172032","42","42","42","0.550000011920929","0.550000011920929","0.550000011920929"
"176128","43","43","43","0.550000011920929","0.550000011920929","0.550000011920929"
"180224","44","44","44","0.550000011920929","0.550000011920929","0.550000011920929"
"184320","45","45","45","0.550000011920929","0.550000011920929","0.550000011920929"
"188416","46","46","46","0.550000011920929","0.550000011920929","0.550000011920929"
"192512","47","47","47","0.550000011920929","0.550000011920929","0.550000011920929"
"196608","48","48","48","0.550000011920929","0.550000011920929","0.550000011920929"
"200704","49","49","49","0.550000011920929","0.550000011920929","0.550000011920929"
"204800","50","50","50","0.550000011920929","0.550000011920929","0.550000011920929"
"208896","51","51","51","0.550000011920929","0.550000011920929","0.550000011920929"
"212992","52","52","52","0.550000011920929","0.550000011920929","0.550000011920929"
"217088","53","53","53","0.550000011920929","0.550000011920929","0.550000011920929"
"221184","54","54","54","0.550000011920929","0.550000011920929","0.550000011920929"
"225280","55","55","55","0.550000011920929","0.550000011920929","0.550000011920929"
"229376","56","56","56","0.550000011920929","0.550000011920929","0.550000011920929"
"233472","57","57","57","0.550000011920929","0.550000011920929","0.550000011920929"
"237568","58","58","58","0.550000011920929","0.550000011920929","0.550000011920929"
"241664","59","59","59","0.550000011920929","0.550000011920929","0.550000011920929"
"245760","60","60","60","0.550000011920929","0.550000011920929","0.550000011920929"
"249856","61","61","61","0.550000011920929","0.550000011920929","0.550000011920929"
"253952","62","62","62","0.550000011920929","0.550000011920929","0.550000011920929"
"258048","63","63","63","0.550000011920929","0.550000011920929","0.550000011920929"
